Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.600,1.900,en-us,0.19433,,1,"order"
9.400,32.000,en-us,0.81908,,1," The special sitting of the federal court of appeal is now open the yarn will met him Justice Gautier The Honorable Mr. Justice Webb and the envelope metam Justice Riverland are presiding the court calls found numbers a101 -10 and a 102 Dash 18 Radu ho Jung and the minister of Public Safety and emergency preparedness. The Helen will be representing himself in Mr. Peterson will be representing the response."
55.500,57.800,en-us,0.60256,,1," Good morning."
64.700,71.300,en-us,0.80240,,2," First the question. What is the meaning of spending is that?"
72.600,83.300,en-us,0.88438,,2," Is a request for the court to consider a decision of a lower court or another Authority in decision-making capacity."
85.400,86.500,en-us,0.88137,,2," Is that about correct"
86.500,90.000,en-us,0.88137,,1," in this particular case yesterday it was?"
92.000,109.700,en-us,0.80500,,1," Now this is a motion. Okay, and I'm emotion from a trial court. We applied the standard of review that means our judge whether we can intervene for not according to a case called thousand."
110.500,121.200,en-us,0.74632,,1," If it is a question of love, we apply the correctness we see if it's correct. And if it is an exactly know or things like that, which normally is"
122.000,138.400,en-us,0.56491,,1," a question of summary judgment is normally exactly know maybe not in this case. It's it's palpable and overriding are and that's a very I stand we have to become there was no records whatsoever to ground."
139.600,141.500,en-us,0.32719,,1," the findings"
144.200,145.100,en-us,0.88163,,2," Of course my question"
145.100,147.400,en-us,0.88163,,1," okay with you understand it like I"
147.400,167.300,en-us,0.88163,,2," do my question was more General someone more General. It was directed to the word appeal not necessarily in this course. Yeah, because it is referred. For example in the federal court the case before us has to do with the Customs that where there's a word there that says a decision of the minister may be appealed in a federal court."
167.300,170.000,en-us,0.88163,,1," Yes, but you have to be careful."
172.000,175.500,en-us,0.78811,,1," with one understands of the word appeal in a statue"
176.300,186.400,en-us,0.84847,,1," does not always mean the same thing the Supreme Court told us that in several statue the word appeal means almost so it's like"
187.800,194.200,en-us,0.79091,,1," It's a difficult. But in this case why is relevant to your cakes because what is before us?"
194.800,196.700,en-us,0.69988,,1," Is the decision of Justice?"
198.700,201.400,en-us,0.54135,,2," Yes, the decision was just English."
212.200,215.700,en-us,0.63487,,1," No, don't worry. I mean this is"
217.200,231.900,en-us,0.83550,,2," they don't be relaxed the first the first Essence started as an appeal of a decision of the minister of Public Safety under one person's mind section 135 the language in the Customs Act was"
